,label,animal_id,Cell,image_id,norm_mean_tmem,norm_mean_cd68,tmem_level,cd68_level,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab
66,B08_2_MIP.czi:c:3/4 - B08_2_MIP.czi #1,B08,3,2,0.016116733871653015,0.010975996168994757,low,high,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
67,B08_2_MIP.czi:c:3/4 - B08_2_MIP.czi #1,B08,4,2,0.025218700669441207,0.005085140774670226,low,mid,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
68,B08_3_MIP.czi:c:3/4 - B08_3_MIP.czi #1,B08,1,3,0.018141375654060377,0.006460545939005538,low,mid,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
69,B08_3_MIP.czi:c:3/4 - B08_3_MIP.czi #1,B08,2,3,0.042920874488884674,-0.006600198910104146,low,mid,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
70,B08_3_MIP.czi:c:3/4 - B08_3_MIP.czi #1,B08,3,3,0.01964536084865233,0.007043715829172223,low,mid,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
71,B08_3_MIP.czi:c:3/4 - B08_3_MIP.czi #1,B08,4,3,0.004993033319291962,0.0018037762453371325,low,mid,W(22),M3,P17,B08,W(22),M3,Male,P15,12/18/2022,a-IL34
72,B09_1_MIP.czi:c:3/4 - B09_1_MIP.czi #1,B09,1,1,0.07757107601140734,0.0025247969542470383,mid,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
73,B09_1_MIP.czi:c:3/4 - B09_1_MIP.czi #1,B09,2,1,0.10835708383223433,0.0010850344151354246,mid,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
74,B09_1_MIP.czi:c:3/4 - B09_1_MIP.czi #1,B09,3,1,0.1571416057371114,-0.026516620336845056,high,low,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
75,B09_1_MIP.czi:c:3/4 - B09_1_MIP.czi #1,B09,4,1,0.12269694219395964,0.0009237714574712175,high,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
76,B09_2_MIP.czi:c:3/4 - B09_2_MIP.czi #1,B09,1,2,0.0283547528973526,-0.0011027945464331529,low,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
77,B09_2_MIP.czi:c:3/4 - B09_2_MIP.czi #1,B09,2,2,0.020443122899947097,8.642143521209178e-05,low,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
78,B09_2_MIP.czi:c:3/4 - B09_2_MIP.czi #1,B09,3,2,0.03922492377471689,-0.003063433136275294,low,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
79,B09_2_MIP.czi:c:3/4 - B09_2_MIP.czi #1,B09,4,2,0.03773036469142625,-0.006323983326376188,low,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
80,B09_3_MIP.czi:c:3/4 - B09_3_MIP.czi #1,B09,1,3,0.03567272527153656,-0.023459458377734763,low,low,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
81,B09_3_MIP.czi:c:3/4 - B09_3_MIP.czi #1,B09,2,3,0.00965093693481587,-0.007100919812077951,low,low,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
82,B09_3_MIP.czi:c:3/4 - B09_3_MIP.czi #1,B09,3,3,0.05464674764529151,-0.00862834564657506,mid,low,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
83,B09_3_MIP.czi:c:3/4 - B09_3_MIP.czi #1,B09,4,3,0.018667414471417725,-0.004261916076258317,low,mid,W(27),M2,P17,B09,W(27),M2,Male,P15,12/20/2022,a-IL34
84,B10_1_MIP.czi:c:3/4 - B10_1_MIP.czi #1,B10,1,1,0.036256499951999574,0.016968025549579324,low,high,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
85,B10_1_MIP.czi:c:3/4 - B10_1_MIP.czi #1,B10,2,1,0.12086288792389879,0.017049072293606027,high,high,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
86,B10_1_MIP.czi:c:3/4 - B10_1_MIP.czi #1,B10,3,1,0.12302931669604776,0.005324198875077443,high,mid,W(25),F1,P17,B10,W(25),F1,Female,P15,12/10/2022,a-IL34
