,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab,animal_id,Cell,image_id,tmem_norm,cd68_norm,tmem_status,cd68_status
155,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,4,B32_1_MIP,0.06581943556272861,0.01118419494435817,mid,high
156,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,1,B32_2_MIP,0.04556360031158105,0.010534113735284914,low,high
157,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,2,B32_2_MIP,0.04918629871732763,0.010089369490879158,low,high
158,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,3,B32_2_MIP,0.027942345920483003,0.00197108988289689,low,mid
159,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,4,B32_2_MIP,0.07434119305369238,0.007211253888761877,mid,mid
160,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,1,B32_3_MIP,0.06079301009760874,0.007607544628417742,mid,mid
161,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,2,B32_3_MIP,0.07016441582048724,-0.0005473709298458099,mid,low
162,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,3,B32_3_MIP,0.11508367413280161,0.004353900527724566,mid,mid
163,W(28),F2.1,P17,B32,W(28),F2,Female,P15,1/11/2023,a-IL34,B32,4,B32_3_MIP,0.05986550768794199,0.008274525617761055,mid,mid
164,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1,B06,1,B06_1_MIP,0.23634874974571246,0.14575680187760914,high,high
165,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1,B06,2,B06_1_MIP,0.23781079614626002,0.15123949786931876,high,high
166,W(26),M3,P17,B06,W(26),M3,Male,P15,12/8/2022,a-CSF1,B06,3,B06_1_MIP,0.1583533702994913,0.139288265153126,high,high
